Brand,Country,Year,Monthly_Production_Tonnes,Avg_Item_Price_USD,Release_Cycles_Per_Year,Carbon_Emissions_tCO2e,Water_Usage_Million_Litres,Landfill_Waste_Tonnes,Avg_Worker_Wage_USD,Working_Hours_Per_Week,Child_Labor_Incidents,Return_Rate_Percent,Avg_Spend_Per_Customer_USD,Shopping_Frequency_Per_Year,Instagram_Mentions_Thousands,TikTok_Mentions_Thousands,Sentiment_Score,Social_Sentiment_Label,GDP_Contribution_Million_USD,Env_Cost_Index,Sustainability_Score,Transparency_Index,Compliance_Score,Ethical_Rating,Waste_per_Item,Carbon_per_Item,Water_Usage_per_Item
"Forever 21",Turkey,2016,503.59,24.36,9,11712.67,268.13,990.8,182.57,51,1,27.37,176.69,19,4877,4983,-0.39,Neutral,364.84,0.58,32.67,82.79,27.15,4.83,0.00196747,0.0232583,0.000532437
H&M,China,2017,681.56,19.24,25,14991.31,155.65,778.56,125.69,58,1,10.76,96.85,3,7905,5287,0.43,Neutral,832.26,0.69,27.99,95.49,73.79,2.77,0.00114232,0.0219956,0.000228373
"Forever 21",Brazil,2015,300.98,29.22,17,6449.28,213.74,732.12,109.24,67,0,11.22,133.31,14,6717,2529,0.61,Negative,654.93,0.41,46.47,64.98,4.81,4.75,0.00243245,0.0214276,0.000710147
Shein,Bangladesh,2016,451.34,22.62,15,10175.53,340.88,881,195.49,43,4,34.03,142.47,3,4100,5102,0.09,Negative,861.79,0.95,38.61,96.12,90.54,0.98,0.00195197,0.0225452,0.000755262
"Forever 21",Germany,2022,427.04,21.04,13,14664.77,141.13,552.35,108.77,46,0,30.9,146.99,6,828,3398,0.94,Neutral,561.46,0.59,42.35,56.85,57.59,3.66,0.00129344,0.0343405,0.000330484
"Forever 21",UK,2020,444.84,17.26,29,10541.48,264.26,952.9,94.44,62,1,37.08,159.16,15,798,7236,-0.22,Negative,504.2,0.11,90.54,9.13,31.93,4.75,0.00214212,0.0236972,0.000594056
"Forever 21",Vietnam,2023,514.55,22.98,20,13370.63,328.59,731.48,162.47,60,1,26.49,149.25,13,8110,6851,0.94,Neutral,470.59,0.72,83.7,86.69,83.85,2.13,0.00142159,0.0259851,0.000638597
"Forever 21",USA,2021,424.18,13.22,7,13463.06,171.36,667.15,218.01,58,2,37.19,119.43,15,4949,1293,0.14,Negative,299.49,0.77,76.72,82.28,74.42,3.41,0.0015728,0.031739,0.000403979
Zara,India,2017,419.04,12.9,22,10172.24,149.35,1071.76,135.68,52,1,36.73,126.72,7,9542,5828,0.94,Negative,502.52,0.57,62.94,69.57,45.45,3.14,0.00255766,0.0242751,0.00035641
Shein,Indonesia,2020,630.85,20.92,16,9667.2,258.58,509.43,189.2,67,1,16.88,96.05,6,3875,6092,0.4,Positive,232.43,0.58,30.95,81.38,68.47,0.81,0.00080753,0.0153241,0.000409891
Shein,UK,2016,301.97,29.16,29,10426.15,262.23,738.05,91.51,61,2,27.82,130.23,19,4100,1683,-0.93,Positive,482.72,0.22,1.37,7.54,69.17,2.67,0.00244412,0.0345271,0.000868398
Zara,Bangladesh,2021,547.93,20.97,28,8649.8,237.37,586.48,142.88,58,0,16.22,130.08,4,3519,6288,-0.77,Negative,598.88,0.7,52.03,77.23,52.02,4.26,0.00107036,0.0157863,0.000433212
Shein,USA,2020,809.11,28.78,22,11936.13,282.12,607.02,184.3,45,3,26.64,127.54,8,7748,7177,0.82,Neutral,409.24,0.37,52.36,69.76,79.65,2.3,0.000750232,0.0147522,0.000348679
"Forever 21",Vietnam,2017,569.11,22.93,25,11152.2,198.04,386.51,145.54,50,1,26.12,190.26,13,6131,7737,-0.64,Neutral,279.63,0.73,41.17,87.43,51.52,4.87,0.000679148,0.0195959,0.000347982
Shein,India,2022,295.15,22.52,26,8409.23,152.43,778.59,98.24,65,1,19.9,101.24,17,5340,2311,-0.84,Positive,445.28,0.89,92.09,6.11,27.69,4.03,0.00263795,0.0284914,0.000516449
Uniqlo,Vietnam,2021,389.54,22.9,20,12399.07,204.14,953.75,110.98,53,1,11.1,145.54,17,1018,2847,0.5,Positive,302.41,0.13,86.72,35.41,39.72,0.52,0.0024484,0.03183,0.000524054
"Forever 21",Indonesia,2016,384.34,22.88,12,6816.21,160.74,645.36,132.46,56,0,24.22,160.29,17,6471,4256,0.47,Positive,238.47,0.6,58.65,56.45,37.88,1.69,0.00167914,0.0177348,0.000418223
H&M,Brazil,2016,533.9,24.2,29,3762.62,198.71,676.58,87.06,55,0,15.6,95.14,11,8534,2640,-0.18,Negative,390.97,0.98,11.2,39.79,96.95,4.33,0.00126724,0.00704742,0.000372186
Shein,China,2017,413.48,23.78,29,12447.55,234.01,857.2,239.16,65,0,33.08,103.06,3,4308,6333,-0.77,Positive,299.59,0.65,28.86,58.12,15.44,2.41,0.00207314,0.0301044,0.000565952
"Forever 21",UK,2015,402.22,20.24,23,16201.13,83.3,519.96,161.48,47,1,30.45,135.89,8,3590,3727,-0.79,Neutral,788.31,0.87,74.6,40.85,93.29,4.95,0.00129273,0.0402793,0.000207101
Shein,Indonesia,2022,423.74,13.79,6,11464.13,294.81,776.03,155.69,48,3,17.07,142.27,15,1165,2186,0.37,Negative,548.69,0.51,71.38,89.97,62.41,2.7,0.00183138,0.0270546,0.000695733
Uniqlo,Vietnam,2015,799.71,12.1,22,9282.46,249.39,978.48,154.78,58,1,19.98,147.49,17,5842,5838,-0.01,Neutral,718.07,0.77,57.32,99.77,75.24,3.53,0.00122354,0.0116073,0.000311851
Zara,India,2016,425.47,21.94,9,14529.31,224.12,730.49,191.46,45,1,23.71,121.65,10,2471,2941,0.54,Positive,1001.14,0.11,59.84,56.55,71.62,3,0.0017169,0.0341488,0.000526759
Shein,Bangladesh,2018,323.33,16.6,28,11963.1,196.66,855.99,93.73,69,0,17.68,139.3,14,4551,7201,0.39,Neutral,812.94,0.93,70.72,15.25,57.63,3.03,0.00264742,0.0369997,0.000608233
H&M,China,2020,738.98,17.44,13,9012.18,171.78,719.51,128.54,62,3,21.97,115.26,11,8070,624,-0.17,Negative,414.62,0.88,92.3,46.57,48.08,4.59,0.000973653,0.0121954,0.000232456
H&M,China,2024,433.48,20.41,24,11415.06,108.21,1007.77,115.09,50,1,29.91,111.93,10,6804,4472,0.19,Neutral,278.69,0.16,75,20.99,89.81,1.03,0.00232484,0.0263335,0.000249631
Zara,Bangladesh,2022,885.49,14.46,23,13119.98,139.96,1285.97,247.49,56,1,14.66,128.7,9,4973,1531,0.79,Negative,449.04,0.57,80.07,97.89,83.98,4.33,0.00145227,0.0148166,0.000158059
Shein,UK,2023,683.33,9.13,8,12165.02,132.26,695.1,174.47,40,2,39.66,157.49,18,4647,5669,0.34,Positive,584.06,0.28,29.31,89.63,1.3,0.43,0.00101722,0.0178026,0.000193552
Uniqlo,Brazil,2023,548.92,13.74,23,6275.5,151.02,1063.15,62.34,51,1,33.22,148.49,5,5719,3627,0.53,Neutral,427.8,0.23,86.85,48.74,89.46,4,0.0019368,0.0114324,0.000275122
Zara,Germany,2019,445.46,19.72,19,12609.22,263.43,528.33,126.53,61,3,18.17,125.88,8,7284,5846,0.3,Positive,304.33,0.85,20.64,1.1,13.69,4.5,0.00118603,0.0283061,0.000591366
Zara,USA,2017,538.4,24.91,17,9703.41,337.88,1037.24,162.86,60,1,11.41,135.53,6,5590,4939,-0.86,Neutral,354.85,0.85,43.72,91.55,72.15,3.05,0.00192652,0.0180227,0.000627563
Shein,USA,2015,480.85,22.78,29,10285.96,210.74,921.51,74.04,50,2,28.7,56.42,10,5236,5810,-0.01,Neutral,429.83,0.72,43.48,24.64,81.91,4,0.00191642,0.0213912,0.000438266
"Forever 21",Bangladesh,2023,336.83,24.65,7,9076.64,160.47,932.75,200.51,56,0,26.26,131.41,19,1850,5654,0.38,Neutral,622.12,0.86,24.97,48.94,22.12,4.94,0.0027692,0.0269472,0.000476412
Shein,India,2020,564.44,21.04,28,6247.01,356.36,653.41,131.93,46,0,37.73,153.87,9,3142,4547,0.04,Negative,483.92,0.68,65.02,36.47,56.07,2.41,0.00115763,0.0110676,0.000631351
"Forever 21",USA,2017,511.95,25.07,28,14332.52,85.73,835.08,219.43,61,0,28.78,128.01,4,8602,788,0.74,Negative,677.93,0.12,87.47,52.89,93.91,3.99,0.00163117,0.0279959,0.000167458
H&M,USA,2015,422.41,27.05,26,17793.11,160.98,664.46,73.94,69,1,32.13,107.39,16,8667,7887,0.71,Negative,443.64,0.74,58.91,27.73,91.03,0.23,0.00157302,0.0421228,0.000381099
H&M,UK,2022,463.24,15.58,9,12952.97,187.16,790.11,183.74,52,2,22.05,105.71,15,1489,3451,-0.91,Positive,619.46,0.45,3.67,95.73,82.62,4,0.00170562,0.0279617,0.000404024
"Forever 21",Vietnam,2019,312.62,22.86,14,8879.8,129.59,959.18,202.43,63,2,32.44,116.01,5,9279,7758,0.78,Positive,725.14,0.96,86.21,80.95,65.52,2.75,0.0030682,0.0284045,0.000414529
Shein,China,2017,473.46,16.01,20,10136.78,162.14,981.5,151.79,42,0,30.34,70.82,8,4411,7364,0.74,Negative,592.51,0.32,15.73,16.04,33.4,1.19,0.00207304,0.02141,0.000342458
"Forever 21",Indonesia,2023,360.76,22.97,10,8889.03,149.99,662.09,174.75,43,2,15.79,112.55,11,2164,4505,-0.48,Neutral,381.02,0.67,54,77.98,10.7,3.81,0.00183526,0.0246397,0.000415761
Zara,Vietnam,2021,580.7,20.24,20,10526.64,224.51,762.73,129.77,56,2,11.74,180.61,14,5226,78,-0.96,Neutral,352.03,0.39,48.86,77.04,68.33,2.23,0.00131347,0.0181275,0.00038662
"Forever 21",Brazil,2024,282.8,9.01,12,13895.98,206.46,966.82,125.26,54,2,38.53,113.33,17,4279,7991,0.52,Negative,270.61,0.5,31.2,32.07,72.44,3.73,0.00341874,0.0491371,0.000730057
"Forever 21",USA,2023,553.06,18.56,29,12851.51,179.42,901.1,148.55,53,0,12.73,115.24,9,1059,6109,-0.93,Positive,262.67,0.93,61.67,79.65,48.15,0.59,0.0016293,0.0232371,0.000324413
"Forever 21",Indonesia,2016,556.25,16.21,9,5539.69,218.99,888.93,100.23,60,0,33.93,106.61,10,8565,2063,-0.22,Neutral,122.09,0.53,60,29.17,69.5,4.3,0.00159808,0.00995899,0.00039369
Uniqlo,India,2017,354.95,19.76,22,10488.29,145.29,797.19,130.84,67,2,19.79,93.71,15,2049,6782,-0.84,Positive,507.53,0.46,13.27,56.75,68.95,4,0.00224592,0.0295486,0.000409325
"Forever 21",Brazil,2015,425.98,17.78,22,10631.7,252.82,1095.17,226.18,48,3,20.18,123.44,5,7394,4954,-0.67,Positive,690.03,0.49,72.48,59.33,65.03,2.4,0.00257094,0.0249582,0.000593502
H&M,UK,2019,266.36,25.27,19,6905.27,168.24,923.74,206.47,58,0,10.63,80.66,11,9374,7860,-0.84,Negative,739.69,0.46,22.06,41.84,20.36,4.2,0.00346801,0.0259246,0.000631626
Uniqlo,Turkey,2018,669.69,18.63,10,6322.7,112.14,844.89,202.35,43,0,21.87,165.29,6,1494,4331,0.82,Neutral,828.1,0.29,62.3,63.16,73.31,0.66,0.00126161,0.00944123,0.000167451
Uniqlo,Brazil,2015,574.1,21.3,28,5843.24,286.66,278.03,168.93,45,1,36.12,143.15,4,3914,4983,0.3,Negative,-69.71,0.38,39.9,85.8,0.9,2.94,0.000484288,0.0101781,0.000499321
"Forever 21",Vietnam,2020,257.23,27.73,28,5332.3,183.66,380.97,162.71,69,0,23.48,137.63,13,6152,2784,0.33,Neutral,523.03,0.53,84.42,80.57,58.54,4.34,0.00148105,0.0207297,0.000713991
H&M,Germany,2021,461.14,19.02,23,6287.98,237.75,838.19,105.27,51,0,39.6,124.18,9,5442,7401,0.03,Negative,590.51,0.54,66.69,13.97,3,1.54,0.00181765,0.0136357,0.00051557
"Forever 21",Bangladesh,2018,359.23,23.22,28,8816.73,174.36,655.84,174.19,45,1,30.78,119.07,19,7805,3769,0.73,Negative,900.68,0.79,11.31,79.55,91.87,3,0.00182568,0.0245434,0.000485371
H&M,Turkey,2018,625.88,29.08,7,9807.58,219.73,864.27,171.1,52,0,13.27,156.7,6,9929,4164,0.62,Neutral,638.85,0.79,79.78,43.56,81.78,0.6,0.00138089,0.0156701,0.000351074
Uniqlo,India,2016,474.04,20.08,20,14014.35,295.18,396.09,203.57,68,1,21.2,169.26,12,9253,3039,0,Neutral,701.96,0.59,95.15,84.72,91.42,4.07,0.000835562,0.0295636,0.00062269
H&M,Turkey,2023,255.4,20.85,9,14152.82,233.83,918.95,192.67,66,2,36.9,84.4,6,240,4615,-0.61,Negative,806.15,0.25,61.74,52.31,67.01,4.65,0.00359808,0.0554143,0.000915544
Zara,Brazil,2024,868.37,24.89,15,14543.55,246.38,679.34,70.66,64,1,35.78,103.79,19,8205,494,-0.49,Positive,602.71,0.97,48.35,80.6,55.02,0.22,0.000782316,0.0167481,0.000283727
Uniqlo,Bangladesh,2016,570.79,20.7,28,10742.49,335.03,1065.05,171.1,54,1,35.2,111.74,7,5799,4195,0.46,Negative,650.28,0.87,67.14,80.95,76.67,0.75,0.00186592,0.0188204,0.000586958
Uniqlo,China,2020,328.68,18.75,22,11901.33,224.83,762.94,143.51,55,0,16.91,136.76,11,1200,6702,-0.88,Positive,262.01,0.23,27.45,59.7,67.58,2.21,0.00232122,0.0362095,0.000684039
Shein,Turkey,2023,756.28,17.94,16,10908.06,167.95,475.39,178.17,53,0,29.36,71.05,3,5289,2522,0.23,Positive,816.19,0.5,83.19,66.96,6.99,3.2,0.00062859,0.0144233,0.000222074
Uniqlo,Brazil,2019,594.69,12.22,8,4018.79,222.44,1045.53,89.52,62,1,39.86,61.47,14,3474,1066,-0.66,Positive,374.21,0.47,42.27,82.18,0.12,1.5,0.00175811,0.00675779,0.000374044
Zara,Brazil,2016,497,21.92,18,7740.11,247.36,670.27,163.67,61,0,32.66,124.01,8,9815,2835,-0.87,Positive,469.51,0.21,22.74,34.17,38.09,1.73,0.00134863,0.0155737,0.000497706
Shein,Germany,2020,509,11.95,8,6689.9,70.83,877.72,274.65,42,2,21.73,44.55,8,8885,5598,-0.24,Neutral,505.64,0.89,86.81,80.59,79,1.52,0.0017244,0.0131432,0.000139155
Zara,Turkey,2015,473.76,16.22,7,8697.67,167.37,817.46,177.33,49,1,35.86,119.25,16,5017,287,-0.65,Negative,663.55,0.55,39.87,14.64,36.75,0.34,0.00172547,0.0183588,0.00035328
Uniqlo,UK,2023,508.5,22.65,18,12177.3,172.46,468.71,212.82,58,1,16.35,169.18,17,8748,5128,-0.52,Neutral,480.14,0.23,12.14,30.33,10.1,3.46,0.00092175,0.0239475,0.000339154
Shein,Germany,2023,502.35,16.36,12,7800.98,155.4,681.43,124.63,43,1,13.92,116.14,5,1649,6648,0.47,Positive,697.87,0.79,1.1,41.62,48.13,0.1,0.00135648,0.015529,0.000309346
Zara,UK,2016,629.47,16.02,29,5563.27,211,796.94,178.96,42,0,29.38,67.72,6,8837,5733,-0.51,Negative,499.01,0.69,81.07,61.41,85.96,1.96,0.00126605,0.00883802,0.000335203
Uniqlo,Turkey,2018,543.72,16.35,14,8183.15,309.56,935.59,125.6,65,0,33.44,119.45,10,6969,2297,-0.55,Neutral,762.36,0.9,45.06,88.25,10.57,4.94,0.00172072,0.0150503,0.000569337
Shein,China,2020,409.35,19.62,13,10710.88,172.71,639.5,214.94,53,4,22.36,157.66,10,5539,6331,-0.96,Negative,537.68,0.17,96.79,29.54,76.92,3.12,0.00156223,0.0261656,0.000421913
"Forever 21",Brazil,2018,312.11,17.49,22,7415.85,147.17,992.44,147.36,49,1,39.4,163.67,18,9603,3409,0.31,Neutral,859.85,0.22,33.83,92.81,22.46,1.86,0.00317978,0.0237604,0.000471532
Zara,Indonesia,2021,239.34,10.26,23,9336.24,183.39,861.48,190.79,42,1,36.38,129.07,15,7265,2758,0.96,Negative,168.15,0.77,55.78,18.06,5.39,1.6,0.0035994,0.0390083,0.000766232
H&M,Turkey,2021,375.73,24.55,18,9716.88,194.85,962.54,178.9,54,2,26.27,127.22,9,6351,7584,0.75,Positive,1020.34,0.49,16.08,55.8,81.18,3.71,0.00256179,0.0258613,0.000518591
H&M,Bangladesh,2021,446.7,23.05,8,13863.95,174.63,852.13,79.97,53,1,20.66,128.34,12,2749,363,-0.93,Negative,790.96,0.77,20.25,95.81,36.79,1.63,0.00190761,0.0310364,0.000390934
Shein,India,2017,431.87,15.9,29,6786.24,200.35,1112.75,87.49,49,2,22.38,74.23,15,2663,3342,0.28,Neutral,752.52,0.16,58,56.15,56.07,3.02,0.00257659,0.0157136,0.000463913
H&M,Indonesia,2018,653.61,22.96,24,7545.4,199.8,765.96,127.34,69,1,34.75,50.88,19,9498,2578,-0.82,Neutral,573.92,0.3,59.82,73.57,99.83,4.67,0.00117189,0.0115442,0.000305687
"Forever 21",UK,2021,346.37,29.27,9,6016.85,199.05,970.02,193.79,65,1,20.87,124.23,15,2710,6950,-0.89,Positive,146.31,0.87,22.55,37.69,46.17,2.4,0.00280053,0.0173712,0.000574674
Uniqlo,Bangladesh,2020,604.08,19.49,9,9917.46,306.34,1132.25,127.15,45,0,16.76,111.77,6,6968,7119,-0.43,Negative,300.14,0.14,3.63,27.57,27.56,3.94,0.00187434,0.0164175,0.000507118
Uniqlo,Indonesia,2018,490.02,21.23,15,8559.39,242.85,834.78,141.54,50,0,37.19,123.05,3,9714,6147,0.46,Negative,273.79,0.59,12.8,88.21,39.34,4.14,0.00170356,0.0174674,0.000495592
Zara,UK,2015,581.37,26.27,10,6668.8,234.02,533.37,270.74,64,2,10.66,101.78,9,697,3112,0.09,Negative,825.86,0.98,22.74,40.4,54.25,3.96,0.000917436,0.0114708,0.000402532
H&M,Bangladesh,2017,826.06,24.7,19,6783.58,24.72,887.31,195.2,41,2,18.72,110.93,12,710,1777,0.59,Neutral,544.7,0.55,33.98,87.21,54.48,3.79,0.00107415,0.00821197,0.0000299252
"Forever 21",India,2016,553.64,15.81,25,8918.58,230.68,863.49,148.4,65,1,12.82,81.51,12,9303,2324,-0.79,Neutral,315.63,0.69,82.21,38.04,77.56,4.82,0.00155966,0.016109,0.000416661
H&M,Vietnam,2022,516.99,12.81,29,13811.89,157.56,611.32,93.8,48,1,25.99,134.54,14,2922,4993,0.71,Neutral,330.73,0.92,27.69,98.35,14.07,1.01,0.00118246,0.026716,0.000304764
Zara,Brazil,2019,356.73,22.12,9,7421.98,268.54,798.18,165.16,60,2,36.46,84.33,7,9852,6324,0.05,Positive,448.95,0.75,89.03,7.94,73.15,0.94,0.00223749,0.0208056,0.000752782
Zara,Vietnam,2024,540.65,21.52,23,10857.95,174.27,534.41,204.16,63,2,15.21,145.22,3,9272,1748,-0.72,Neutral,609.35,0.41,45.04,74.88,65.11,3.1,0.000988458,0.0200831,0.000322334
"Forever 21",UK,2021,649.75,17.84,16,8568.99,239.99,736.49,116.23,63,0,15.25,107.94,10,3930,904,-0.85,Neutral,604.85,0.41,86.64,21.55,36.04,0.34,0.0011335,0.0131881,0.000369357
Shein,UK,2021,424.53,27.22,25,12170.83,240.05,557.58,191.71,40,1,15.07,73.17,16,2759,4646,0.09,Neutral,214.39,0.44,97.68,11.07,42.25,0.21,0.00131341,0.028669,0.000565449
"Forever 21",UK,2021,549.8,20.95,28,11164.73,158.21,968.68,174.76,52,2,34.88,139.78,16,9435,983,-0.76,Neutral,422.7,0.16,26.33,4.61,56.72,1.42,0.00176188,0.0203069,0.000287759
H&M,India,2015,611.81,15.57,14,11284.94,253.95,980.49,160.72,62,2,22.88,145.57,7,9591,3990,0.2,Neutral,363.1,0.2,9.39,90.96,66.92,4.15,0.00160261,0.0184452,0.00041508
Shein,UK,2019,528.44,25.01,18,8446.26,214.46,784.84,193.78,54,2,28.21,156.65,6,1946,1528,-0.74,Positive,849.92,0.31,78.68,97.08,26.27,1.36,0.0014852,0.0159834,0.000405836
Uniqlo,India,2019,552.98,19.9,13,8132.05,211.68,651.51,84,51,2,24.09,77.55,5,8433,5460,-0.11,Positive,-18.63,0.53,59.09,53.7,85.41,0.25,0.00117818,0.0147059,0.000382799
Shein,Germany,2023,544.69,21.44,6,13253.44,165.35,896.03,286.54,50,0,18.33,102.58,19,955,1862,-0.31,Neutral,670.74,0.56,87.42,49.35,70.23,4.96,0.00164503,0.0243321,0.000303567
Uniqlo,India,2022,440.13,16.74,6,14441.7,157.44,868.77,188.44,52,1,34.71,124.35,4,5543,1039,0.6,Positive,377.05,0.7,9.23,59.63,54.96,4.5,0.00197389,0.0328123,0.000357713
H&M,Brazil,2020,248.83,15.52,14,10505.96,226.52,581.92,220.55,50,1,14.17,133.55,4,1728,5847,0.66,Negative,285.02,0.99,82,69.49,53.25,2.24,0.00233862,0.0422214,0.00091034
"Forever 21",Germany,2016,472.08,16.16,10,10479.57,138.34,1053.14,106.69,64,0,21.62,111.12,15,8666,2170,-0.39,Negative,716.72,0.81,44.64,79.84,82.24,4.29,0.00223085,0.0221987,0.000293044
"Forever 21",Indonesia,2016,479.85,24.05,13,9182.72,195.51,915.37,30.41,41,0,22.92,91.07,12,7711,963,0.27,Positive,413.97,0.41,7.17,40.96,31.12,3.39,0.00190762,0.0191366,0.00040744
"Forever 21",Brazil,2020,255.67,26.36,25,14543.91,322.14,805.59,170.91,52,1,10.93,87.06,8,6368,960,-0.02,Positive,427.64,0.22,83.55,37.04,37.48,2.37,0.0031509,0.0568855,0.00125998
Shein,India,2018,518.86,19.93,14,9678.09,226.86,485.82,93.66,43,2,15.05,139.69,5,9669,1489,0.42,Negative,401.85,0.26,50.74,67.74,23.5,4.15,0.000936322,0.0186526,0.000437228
Shein,Brazil,2024,313.76,20.83,29,8434.29,233.89,942.07,192.76,57,1,28.62,106.56,7,8948,2710,0.09,Negative,244.83,0.3,96.4,90.95,72.21,2.67,0.00300252,0.0268813,0.000745442
Zara,Bangladesh,2015,445.74,21.4,22,8915.06,318.07,803.76,182.69,51,2,21.26,92.83,17,2046,4860,0.84,Positive,369.25,0.43,72.57,89.45,45.6,2.22,0.0018032,0.0200006,0.000713577
H&M,USA,2021,727.63,28.48,12,13497.42,187.73,772.95,200.18,52,1,32.02,187.19,18,1327,6387,-0.33,Negative,592.01,0.76,52.86,79.34,99.05,1,0.00106228,0.0185498,0.000258002
Zara,India,2022,681.39,12.8,20,11264.14,164.37,939.42,209.12,40,2,24.63,115.11,8,1198,3476,0.1,Positive,351.02,0.67,57.7,69.78,0.61,0.5,0.00137868,0.0165311,0.000241227
Uniqlo,Vietnam,2020,558.59,23.96,22,14365.06,200.19,764.16,154.13,41,2,35.9,72.22,9,1688,3928,-0.55,Positive,348.49,0.68,97.9,60.35,35.78,3.24,0.00136802,0.0257166,0.000358385
Uniqlo,China,2020,47.07,20.92,15,10657.7,277.36,885.06,260.94,57,3,25.61,131.77,14,6146,4095,0.76,Positive,398.21,0.84,72.17,27.15,40.24,0.51,0.0188031,0.226422,0.0058925
Shein,Germany,2020,584.05,16.92,23,12865.29,138.03,628.31,206.28,50,1,26.95,126.23,17,9110,2238,-0.16,Neutral,711.99,0.44,93.63,67.51,11.6,0.21,0.00107578,0.0220277,0.000236333
Zara,Vietnam,2020,610.71,20.55,29,7472.8,224.63,910.02,132,44,4,13.16,138.47,12,1224,5671,0.91,Neutral,740.78,0.55,43.27,45.77,20.89,1.84,0.0014901,0.0122362,0.000367818
H&M,Brazil,2024,423.78,19.26,14,10659.75,120.43,1124.32,118.92,48,1,36.4,140.11,15,1872,211,-0.21,Positive,285.63,0.94,12.57,73.71,97.46,0.26,0.00265307,0.025154,0.00028418
Shein,Vietnam,2016,448.49,29.82,6,9014.14,236.19,691.18,141.86,61,2,30.64,128.75,4,8116,7061,0.9,Negative,463.36,0.13,73.62,33.02,90.61,1.33,0.00154113,0.0200989,0.000526634
H&M,Germany,2017,592.55,21.84,11,9193.02,293.91,626.83,114.04,67,1,10.51,140.19,4,4163,5905,-0.41,Positive,618.36,0.8,51.8,34.81,37.17,0.01,0.00105785,0.0155143,0.000496009
H&M,USA,2015,648.3,13.24,12,11067.38,246.11,1052.39,158.99,62,1,21.94,108.13,11,2304,2707,0.21,Negative,464.08,0.53,5.97,67.16,58.22,4.95,0.00162331,0.0170714,0.000379624
"Forever 21",USA,2019,528.17,12.03,25,11611.27,203.1,758.85,117.5,66,3,19.45,147.1,13,8782,1122,0.89,Neutral,512.12,0.4,72.5,53.88,6.06,3.45,0.00143675,0.021984,0.000384535
